 Question ,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level ,Score for Right Answers
Simple network management protocol uses which of the following port number ?,A) 161,B) 162,C) 163,D) 164,A,Easy Medium,2
Among which of the following is HTML a subset ?,A) SGMC ,B) SGMT,C) SGMA,D) SGML,D,Easy Medium,2
What does PHP Stands for ?,A) Program Hyper Processor,B) Hypertext Preprocessor,C) Programming Hyper Processor,D) Personal Home Page,B,Easy Medium,2
What is PHP ?,A) Programming Language,B) Web Development Other name,C) Webpage,D) Browser,A,Easy Medium,2
Who Developed the PHP ?,A) Larry Page,B) Mark Zuckerberg,C) Rasmus Lerdorf,D) Tim Berners-Lee,C,Easy Medium,2
What are Types of Websites in Web Development ?,A) Static websites,B) Dynamic websites,C) Both static and dynamic websites,D) None of the above,C,Easy Medium,2
What is the main Purpose of Making Static Websites ?,A) To create dynamic and interactive user experiences,B) To allow for easy content updates and management,C) To improve search engine optimization (SEO) and website performance,D) To rovide a cost-effective solution for simple informational websites,D,Easy Medium,2
What is the Main Purpose of Making Dynamic Websites ?,A) To Add the Dynamic Functionality of in Websites like That Change According to the User's Interaction (login/ signup pages),B) To Enhance the Aesthetics and Visual Appeal of the Website,C) To Improve Search Engine Optimization (SEO) and Website Ranking,D) To Increase User Engagement and Provide Personalized Content,A,Easy Medium ,2
Which is the Correct Way of XML Declaration Part in XML Documents ?,A) <?xml version=`1.0`?>,B) <?xml version='1.0' encoding='UTF-8'?>,C) <?xml version='1.1' encoding='UTF-8'?>,D) <?xml version='1.1'?>,B,Easy Medium,2
What is the Extension for HTML Documents ?,A) .html,B) .ht,C) .htl,D) .txt,A,Easy Medium ,2
What are the types of CSS ?,A) ID CSS ; Class CSS ; Element CSS,B) Cascading CSS ; Styling CSS ; Animation CSS,C) Inline CSS ;  Internal CSS ; External CSS,D) Responsive CSS ; Flexbox CSS ; Grid CSS,C,Easy Medium,2
What is the Correct Way for Defining Inline CSS ?,A) Using the class attribute within an HTML tag,B) Using the style attribute within an HTML tag,C) Using the id attribute within an HTML tag.,D) Using the link tag in the head section of an HTML document,B,Easy Medium,2
What is the Right Syntax for defining Inline CSS ?,A) <div stylesheet=``color: blue;``>,B) <div class=``blue``>,C) <div id=``blue``>,D) <div style=``color: blue;``>,D,Easy Medium,2
Which is a Search Engine from these options?,A) Google ,B) Microsoft,C) Gooogle Chrome,D) Mozila Firefox,A,Easy Medium,2
What does the SQL Stands for ?,A) Standard Query Language,B) Simple Query Language,C) Structured Query Language,D) Sequential Query Language,C,Easy Medium,2
What does DBMS Stands for ?,A) Data Backup and Management System,B) Database Management System,C) Data Business Management System,D) Digital Business Management Service,B,Easy Medium,2
What does JSON Stands for ?,A) Java Object Networking,B) JavaScript Object Networking,C) Java Object Notation,D) JavaScript Object Notation,D,Easy Medium,2
What is JS ?,A) Browser,B) Markup Language,C) Programming Language,D) Operating System,C,Easy Medium,2
